request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,not_affordable,not_recommended,none,2025-08-03,none,The full IDR 15656000 cannot be completed safely within 90 days. The maximum safe amount today is IDR 15656000.
request_27,6670,not_affordable,not_recommended,none,2026-07-05,none,The full ZAR 6670 cannot be completed safely within 90 days. The maximum safe amount today is ZAR 6670.
request_28,429.49,affordable_later,wait,2024-07-15:1302.4,2024-07-15,none,Wait until 2024-07-15 to pay EUR 1302.4 in full. The balance is projected to support the full amount safely by then.
request_29,27509.49,not_affordable,not_recommended,none,,none,The full ZAR 51524 cannot be completed safely within 90 days. The maximum safe amount today is ZAR 27509.49.
request_30,775.2,not_affordable,not_recommended,none,2026-04-06,none,The full USD 775.2 cannot be completed safely within 90 days. The maximum safe amount today is USD 775.2.
request_31,5513616.14,not_affordable,not_recommended,none,2024-09-15,none,The full IDR 18164000 cannot be completed safely within 90 days. The maximum safe amount today is IDR 5513616.14.
request_32,16617.42,not_affordable,not_recommended,none,2025-03-15,none,The full ZAR 40018 cannot be completed safely within 90 days. The maximum safe amount today is ZAR 16617.42.
request_33,41098.41,not_affordable,not_recommended,none,2026-02-15,none,The full INR 118000 cannot be completed safely within 90 days. The maximum safe amount today is INR 41098.41.
request_34,129400,not_affordable,not_recommended,none,2024-12-04,none,The full INR 129400 cannot be completed safely within 90 days. The maximum safe amount today is INR 129400.
request_35,43183.76,affordable_later,wait,2026-01-15:212000,2026-01-15,none,Wait until 2026-01-15 to pay INR 212000 in full. The balance is projected to support the full amount safely by then.
request_36,921.23,affordable_later,wait,2026-09-15:3954,2026-09-15,none,Wait until 2026-09-15 to pay USD 3954 in full. The balance is projected to support the full amount safely by then.
request_37,5754441.16,not_affordable,not_recommended,none,2024-04-15,none,The full IDR 14649000 cannot be completed safely within 90 days. The maximum safe amount today is IDR 5754441.16.
request_38,225.42,affordable_later,wait,2025-09-15:971.3,2025-09-15,none,Wait until 2025-09-15 to pay EUR 971.3 in full. The balance is projected to support the full amount safely by then.
request_39,71777.5,not_affordable,not_recommended,none,2026-04-15,none,The full INR 208600 cannot be completed safely within 90 days. The maximum safe amount today is INR 71777.5.
